Mon Nov  9 12:14:47 2020
Joystick Mode (120s)
{'Time': 9649, 'Left_wheel_dist': -4, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.89, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 1141}
{'Time': 10752, 'Left_wheel_dist': -61, 'Right_wheel_dist': -137, 'IMU_roll': -0.06, 'IMU_pitch': 0.03, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 10842, 'Left_wheel_dist': -75, 'Right_wheel_dist': -163, 'IMU_roll': -0.05, 'IMU_pitch': -0.05, 'IMU_yaw': 3.97, 'IMU_Acc_x': -0.93, 'IMU_Acc_y': -0.78, 'IMU_Acc_z': 9.76, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 10944, 'Left_wheel_dist': -99, 'Right_wheel_dist': -192, 'IMU_roll': -0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 3.99, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.63, 'IMU_Acc_z': 9.94, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11047, 'Left_wheel_dist': -121, 'Right_wheel_dist': -216, 'IMU_roll': -0.05, 'IMU_pitch': 0.09, 'IMU_yaw': 4.05, 'IMU_Acc_x': 1.39, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 10.01, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11149, 'Left_wheel_dist': -137, 'Right_wheel_dist': -234, 'IMU_roll': -0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.61, 'IMU_Acc_y': -0.28, 'IMU_Acc_z': 9.62, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11250, 'Left_wheel_dist': -150, 'Right_wheel_dist': -247, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.53, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11352, 'Left_wheel_dist': -161, 'Right_wheel_dist': -263, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11452, 'Left_wheel_dist': -174, 'Right_wheel_dist': -278, 'IMU_roll': -0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 4.02, 'IMU_Acc_x': -0.06, 'IMU_Acc_y': -0.37, 'IMU_Acc_z': 9.70, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11540, 'Left_wheel_dist': -194, 'Right_wheel_dist': -296, 'IMU_roll': -0.03, 'IMU_pitch': 0.00, 'IMU_yaw': 3.98, 'IMU_Acc_x': -0.20, 'IMU_Acc_y': -0.64, 'IMU_Acc_z': 10.23, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 11644, 'Left_wheel_dist': -212, 'Right_wheel_dist': -314, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 3.94, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11747, 'Left_wheel_dist': -228, 'Right_wheel_dist': -325, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11850, 'Left_wheel_dist': -245, 'Right_wheel_dist': -336, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.66, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11940, 'Left_wheel_dist': -267, 'Right_wheel_dist': -349, 'IMU_roll': 0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 3.92, 'IMU_Acc_x': -0.12, 'IMU_Acc_y': 0.19, 'IMU_Acc_z': 10.14, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 12045, 'Left_wheel_dist': -296, 'Right_wheel_dist': -371, 'IMU_roll': -0.02, 'IMU_pitch': -0.09, 'IMU_yaw': 3.91, 'IMU_Acc_x': -0.98, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 8.99, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12149, 'Left_wheel_dist': -338, 'Right_wheel_dist': -398, 'IMU_roll': -0.03, 'IMU_pitch': -0.01, 'IMU_yaw': 3.95, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 10.96, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12253, 'Left_wheel_dist': -367, 'Right_wheel_dist': -422, 'IMU_roll': -0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12343, 'Left_wheel_dist': -389, 'Right_wheel_dist': -440, 'IMU_roll': 0.00, 'IMU_pitch': 0.09, 'IMU_yaw': 4.01, 'IMU_Acc_x': 0.87, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12444, 'Left_wheel_dist': -411, 'Right_wheel_dist': -456, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 4.02, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12546, 'Left_wheel_dist': -431, 'Right_wheel_dist': -478, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 4.02, 'IMU_Acc_x': 0.79, 'IMU_Acc_y': 0.46, 'IMU_Acc_z': 9.92, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12646, 'Left_wheel_dist': -449, 'Right_wheel_dist': -495, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 4.05, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.79, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12747, 'Left_wheel_dist': -471, 'Right_wheel_dist': -515, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 4.04, 'IMU_Acc_x': -0.32, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 10.67, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12851, 'Left_wheel_dist': -500, 'Right_wheel_dist': -544, 'IMU_roll': -0.02, 'IMU_pitch': -0.10, 'IMU_yaw': 3.99, 'IMU_Acc_x': -1.21, 'IMU_Acc_y': -0.09, 'IMU_Acc_z': 8.54, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12952, 'Left_wheel_dist': -531, 'Right_wheel_dist': -575, 'IMU_roll': -0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 4.00, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 10.05, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13053, 'Left_wheel_dist': -562, 'Right_wheel_dist': -606, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 4.05, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.07, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13143, 'Left_wheel_dist': -584, 'Right_wheel_dist': -637, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.01, 'IMU_Acc_x': 0.40, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 10.25, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 13245, 'Left_wheel_dist': -613, 'Right_wheel_dist': -668, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.96, 'IMU_Acc_x': 0.57, 'IMU_Acc_y': -0.60, 'IMU_Acc_z': 10.57, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13348, 'Left_wheel_dist': -648, 'Right_wheel_dist': -701, 'IMU_roll': -0.04, 'IMU_pitch': -0.05, 'IMU_yaw': 3.97, 'IMU_Acc_x': -1.21, 'IMU_Acc_y': -0.29, 'IMU_Acc_z': 8.04, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13453, 'Left_wheel_dist': -688, 'Right_wheel_dist': -732, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.00, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.73, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 13542, 'Left_wheel_dist': -719, 'Right_wheel_dist': -761, 'IMU_roll': 0.00, 'IMU_pitch': 0.11, 'IMU_yaw': 4.03, 'IMU_Acc_x': 1.40, 'IMU_Acc_y': 0.39, 'IMU_Acc_z': 10.63, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13645, 'Left_wheel_dist': -754, 'Right_wheel_dist': -788, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.95, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 8.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13749, 'Left_wheel_dist': -785, 'Right_wheel_dist': -825, 'IMU_roll': 0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 3.87, 'IMU_Acc_x': 0.04, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.33, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13853, 'Left_wheel_dist': -825, 'Right_wheel_dist': -867, 'IMU_roll': -0.03, 'IMU_pitch': 0.01, 'IMU_yaw': 3.84, 'IMU_Acc_x': 0.01, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 10.25, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13943, 'Left_wheel_dist': -865, 'Right_wheel_dist': -903, 'IMU_roll': -0.06, 'IMU_pitch': 0.04, 'IMU_yaw': 3.90, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': -0.25, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14047, 'Left_wheel_dist': -914, 'Right_wheel_dist': -940, 'IMU_roll': -0.07, 'IMU_pitch': 0.05, 'IMU_yaw': 3.93, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.61, 'IMU_Acc_z': 9.93, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14150, 'Left_wheel_dist': -967, 'Right_wheel_dist': -980, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 3.93, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14254, 'Left_wheel_dist': -1013, 'Right_wheel_dist': -1020, 'IMU_roll': -0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.95, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.03, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14344, 'Left_wheel_dist': -1062, 'Right_wheel_dist': -1062, 'IMU_roll': 0.02, 'IMU_pitch': 0.00, 'IMU_yaw': 3.95, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 14446, 'Left_wheel_dist': -1106, 'Right_wheel_dist': -1111, 'IMU_roll': 0.07, 'IMU_pitch': 0.06, 'IMU_yaw': 3.91, 'IMU_Acc_x': 0.97, 'IMU_Acc_y': 0.70, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14547, 'Left_wheel_dist': -1155, 'Right_wheel_dist': -1155, 'IMU_roll': 0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 3.81, 'IMU_Acc_x': 0.26, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 10.48, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14650, 'Left_wheel_dist': -1204, 'Right_wheel_dist': -1204, 'IMU_roll': 0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 3.81, 'IMU_Acc_x': -0.37, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 8.76, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14752, 'Left_wheel_dist': -1261, 'Right_wheel_dist': -1261, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.84, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14856, 'Left_wheel_dist': -1317, 'Right_wheel_dist': -1317, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.88, 'IMU_Acc_x': -0.16, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.50, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14947, 'Left_wheel_dist': -1370, 'Right_wheel_dist': -1370, 'IMU_roll': -0.03, 'IMU_pitch': -0.00, 'IMU_yaw': 3.92, 'IMU_Acc_x': -0.17, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 10.01, 'Loop_dt': 25, 'Acc_Accu': 5}
{'Time': 15051, 'Left_wheel_dist': -1427, 'Right_wheel_dist': -1436, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.95, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 10.15, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15156, 'Left_wheel_dist': -1487, 'Right_wheel_dist': -1498, 'IMU_roll': -0.04, 'IMU_pitch': 0.09, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.56, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 8.69, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 15245, 'Left_wheel_dist': -1536, 'Right_wheel_dist': -1540, 'IMU_roll': -0.05, 'IMU_pitch': 0.16, 'IMU_yaw': 4.01, 'IMU_Acc_x': 1.67, 'IMU_Acc_y': 0.09, 'IMU_Acc_z': 11.39, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15348, 'Left_wheel_dist': -1587, 'Right_wheel_dist': -1582, 'IMU_roll': -0.05, 'IMU_pitch': 0.10, 'IMU_yaw': 4.04, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.10, 'IMU_Acc_z': 9.40, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15452, 'Left_wheel_dist': -1642, 'Right_wheel_dist': -1624, 'IMU_roll': -0.04, 'IMU_pitch': 0.07, 'IMU_yaw': 3.99, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 9.96, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15555, 'Left_wheel_dist': -1691, 'Right_wheel_dist': -1667, 'IMU_roll': 0.00, 'IMU_pitch': 0.07, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 10.22, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15645, 'Left_wheel_dist': -1737, 'Right_wheel_dist': -1706, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.99, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 8.45, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15750, 'Left_wheel_dist': -1786, 'Right_wheel_dist': -1751, 'IMU_roll': 0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 4.00, 'IMU_Acc_x': -0.04, 'IMU_Acc_y': 0.37, 'IMU_Acc_z': 10.69, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15854, 'Left_wheel_dist': -1841, 'Right_wheel_dist': -1802, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.90, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.11, 'IMU_Acc_z': 9.60, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15959, 'Left_wheel_dist': -1892, 'Right_wheel_dist': -1855, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 3.82, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': 0.36, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16049, 'Left_wheel_dist': -1941, 'Right_wheel_dist': -1901, 'IMU_roll': -0.02, 'IMU_pitch': 0.09, 'IMU_yaw': 3.81, 'IMU_Acc_x': 0.84, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.69, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16152, 'Left_wheel_dist': -1992, 'Right_wheel_dist': -1950, 'IMU_roll': -0.04, 'IMU_pitch': 0.07, 'IMU_yaw': 3.87, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.95, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16256, 'Left_wheel_dist': -2045, 'Right_wheel_dist': -1999, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 3.95, 'IMU_Acc_x': -0.01, 'IMU_Acc_y': 0.20, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16346, 'Left_wheel_dist': -2094, 'Right_wheel_dist': -2050, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': 0.40, 'IMU_Acc_z': 9.64, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16446, 'Left_wheel_dist': -2149, 'Right_wheel_dist': -2105, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 3.92, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 10.07, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16548, 'Left_wheel_dist': -2198, 'Right_wheel_dist': -2160, 'IMU_roll': -0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 3.93, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.63, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16650, 'Left_wheel_dist': -2253, 'Right_wheel_dist': -2216, 'IMU_roll': -0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 10.10, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16751, 'Left_wheel_dist': -2304, 'Right_wheel_dist': -2275, 'IMU_roll': -0.04, 'IMU_pitch': 0.12, 'IMU_yaw': 4.03, 'IMU_Acc_x': 1.14, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 10.15, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16852, 'Left_wheel_dist': -2360, 'Right_wheel_dist': -2326, 'IMU_roll': -0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 4.06, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.23, 'IMU_Acc_z': 10.02, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16953, 'Left_wheel_dist': -2408, 'Right_wheel_dist': -2375, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.08, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 10.37, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17054, 'Left_wheel_dist': -2461, 'Right_wheel_dist': -2426, 'IMU_roll': 0.05, 'IMU_pitch': 0.04, 'IMU_yaw': 3.98, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.48, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17156, 'Left_wheel_dist': -2512, 'Right_wheel_dist': -2481, 'IMU_roll': 0.04, 'IMU_pitch': 0.03, 'IMU_yaw': 3.87, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.32, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17256, 'Left_wheel_dist': -2563, 'Right_wheel_dist': -2530, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 3.91, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.30, 'IMU_Acc_z': 9.69, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17357, 'Left_wheel_dist': -2614, 'Right_wheel_dist': -2583, 'IMU_roll': -0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 3.97, 'IMU_Acc_x': 0.31, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.28, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17459, 'Left_wheel_dist': -2669, 'Right_wheel_dist': -2641, 'IMU_roll': -0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 4.00, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -0.19, 'IMU_Acc_z': 9.45, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17549, 'Left_wheel_dist': -2716, 'Right_wheel_dist': -2689, 'IMU_roll': 0.02, 'IMU_pitch': 0.08, 'IMU_yaw': 4.03, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': 0.38, 'IMU_Acc_z': 10.99, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17652, 'Left_wheel_dist': -2767, 'Right_wheel_dist': -2740, 'IMU_roll': -0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 4.04, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.50, 'IMU_Acc_z': 9.34, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17757, 'Left_wheel_dist': -2813, 'Right_wheel_dist': -2787, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.07, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 10.04, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 17847, 'Left_wheel_dist': -2860, 'Right_wheel_dist': -2833, 'IMU_roll': -0.04, 'IMU_pitch': 0.07, 'IMU_yaw': 4.08, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': -0.35, 'IMU_Acc_z': 9.84, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17950, 'Left_wheel_dist': -2906, 'Right_wheel_dist': -2884, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.10, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 18054, 'Left_wheel_dist': -2955, 'Right_wheel_dist': -2931, 'IMU_roll': 0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.11, 'IMU_Acc_x': 0.60, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.93, 'Loop_dt': 24, 'Acc_Accu': 6}
