Wed Feb 10 13:35:48 2021
Program 10: 1s Stillstand, Rampe Rotation von +- 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9645, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 6.03, 'IMU_Acc_x': 0.62, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 1145}
{'Time': 11145, 'Left_wheel_dist': 68, 'Right_wheel_dist': -35, 'IMU_roll': 0.09, 'IMU_pitch': 0.07, 'IMU_yaw': 6.14, 'IMU_Acc_x': 0.72, 'IMU_Acc_y': 0.77, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11253, 'Left_wheel_dist': 101, 'Right_wheel_dist': -64, 'IMU_roll': 0.10, 'IMU_pitch': 0.07, 'IMU_yaw': 6.23, 'IMU_Acc_x': 1.05, 'IMU_Acc_y': 0.96, 'IMU_Acc_z': 10.25, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 11353, 'Left_wheel_dist': 139, 'Right_wheel_dist': -99, 'IMU_roll': 0.10, 'IMU_pitch': 0.07, 'IMU_yaw': 0.04, 'IMU_Acc_x': 1.37, 'IMU_Acc_y': 0.77, 'IMU_Acc_z': 9.87, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11452, 'Left_wheel_dist': 174, 'Right_wheel_dist': -132, 'IMU_roll': 0.09, 'IMU_pitch': 0.08, 'IMU_yaw': 0.13, 'IMU_Acc_x': 1.09, 'IMU_Acc_y': 0.57, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11552, 'Left_wheel_dist': 216, 'Right_wheel_dist': -170, 'IMU_roll': 0.09, 'IMU_pitch': 0.08, 'IMU_yaw': 0.24, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.58, 'IMU_Acc_z': 10.00, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11653, 'Left_wheel_dist': 261, 'Right_wheel_dist': -214, 'IMU_roll': 0.10, 'IMU_pitch': 0.09, 'IMU_yaw': 0.36, 'IMU_Acc_x': 1.48, 'IMU_Acc_y': 1.18, 'IMU_Acc_z': 9.75, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 11753, 'Left_wheel_dist': 314, 'Right_wheel_dist': -267, 'IMU_roll': 0.10, 'IMU_pitch': 0.12, 'IMU_yaw': 0.50, 'IMU_Acc_x': 1.96, 'IMU_Acc_y': 1.03, 'IMU_Acc_z': 9.70, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11853, 'Left_wheel_dist': 369, 'Right_wheel_dist': -325, 'IMU_roll': 0.09, 'IMU_pitch': 0.14, 'IMU_yaw': 0.64, 'IMU_Acc_x': 2.01, 'IMU_Acc_y': 0.79, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11953, 'Left_wheel_dist': 429, 'Right_wheel_dist': -383, 'IMU_roll': 0.10, 'IMU_pitch': 0.16, 'IMU_yaw': 0.79, 'IMU_Acc_x': 2.33, 'IMU_Acc_y': 0.95, 'IMU_Acc_z': 9.79, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12053, 'Left_wheel_dist': 489, 'Right_wheel_dist': -451, 'IMU_roll': 0.11, 'IMU_pitch': 0.19, 'IMU_yaw': 0.96, 'IMU_Acc_x': 2.55, 'IMU_Acc_y': 1.01, 'IMU_Acc_z': 9.72, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12153, 'Left_wheel_dist': 557, 'Right_wheel_dist': -524, 'IMU_roll': 0.13, 'IMU_pitch': 0.22, 'IMU_yaw': 1.15, 'IMU_Acc_x': 2.98, 'IMU_Acc_y': 1.13, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12255, 'Left_wheel_dist': 633, 'Right_wheel_dist': -595, 'IMU_roll': 0.14, 'IMU_pitch': 0.26, 'IMU_yaw': 1.37, 'IMU_Acc_x': 3.10, 'IMU_Acc_y': 1.09, 'IMU_Acc_z': 9.68, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 12356, 'Left_wheel_dist': 708, 'Right_wheel_dist': -677, 'IMU_roll': 0.16, 'IMU_pitch': 0.30, 'IMU_yaw': 1.61, 'IMU_Acc_x': 3.59, 'IMU_Acc_y': 0.87, 'IMU_Acc_z': 10.25, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12447, 'Left_wheel_dist': 781, 'Right_wheel_dist': -750, 'IMU_roll': 0.15, 'IMU_pitch': 0.28, 'IMU_yaw': 1.85, 'IMU_Acc_x': 3.62, 'IMU_Acc_y': 0.87, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 7}
{'Time': 12549, 'Left_wheel_dist': 867, 'Right_wheel_dist': -841, 'IMU_roll': 0.14, 'IMU_pitch': 0.28, 'IMU_yaw': 2.15, 'IMU_Acc_x': 3.98, 'IMU_Acc_y': 0.97, 'IMU_Acc_z': 9.93, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12646, 'Left_wheel_dist': 956, 'Right_wheel_dist': -934, 'IMU_roll': 0.14, 'IMU_pitch': 0.30, 'IMU_yaw': 2.48, 'IMU_Acc_x': 4.35, 'IMU_Acc_y': 0.88, 'IMU_Acc_z': 9.91, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 12746, 'Left_wheel_dist': 991, 'Right_wheel_dist': -976, 'IMU_roll': 0.08, 'IMU_pitch': 0.28, 'IMU_yaw': 2.69, 'IMU_Acc_x': 2.62, 'IMU_Acc_y': -4.29, 'IMU_Acc_z': 9.74, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12847, 'Left_wheel_dist': 1011, 'Right_wheel_dist': -989, 'IMU_roll': 0.00, 'IMU_pitch': 0.24, 'IMU_yaw': 2.79, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -5.10, 'IMU_Acc_z': 9.86, 'Loop_dt': 19, 'Acc_Accu': 9}
{'Time': 12946, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1002, 'IMU_roll': -0.10, 'IMU_pitch': 0.21, 'IMU_yaw': 2.81, 'IMU_Acc_x': 1.61, 'IMU_Acc_y': -3.25, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13051, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1007, 'IMU_roll': -0.09, 'IMU_pitch': 0.12, 'IMU_yaw': 2.82, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': -0.96, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13150, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1007, 'IMU_roll': -0.03, 'IMU_pitch': 0.10, 'IMU_yaw': 2.74, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.77, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 13247, 'Left_wheel_dist': 1013, 'Right_wheel_dist': -1007, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 2.69, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.86, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13352, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1007, 'IMU_roll': 0.05, 'IMU_pitch': 0.08, 'IMU_yaw': 2.59, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13449, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1007, 'IMU_roll': 0.05, 'IMU_pitch': 0.09, 'IMU_yaw': 2.50, 'IMU_Acc_x': 0.09, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13546, 'Left_wheel_dist': 1016, 'Right_wheel_dist': -1007, 'IMU_roll': 0.04, 'IMU_pitch': 0.08, 'IMU_yaw': 2.42, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 9}
