Mon Nov  9 12:05:36 2020
Joystick Mode (120s)
{'Time': 9649, 'Left_wheel_dist': -19, 'Right_wheel_dist': -13, 'IMU_roll': -0.01, 'IMU_pitch': -0.07, 'IMU_yaw': 3.60, 'IMU_Acc_x': 0.30, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.81, 'Loop_dt': 24, 'Acc_Accu': 1140}
{'Time': 12745, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.13, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 12848, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.07, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 12950, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': 0.03, 'IMU_pitch': 0.02, 'IMU_yaw': 3.67, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 13052, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.63, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 13149, 'Left_wheel_dist': -121, 'Right_wheel_dist': -110, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.24, 'IMU_Acc_y': 0.05, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13250, 'Left_wheel_dist': -128, 'Right_wheel_dist': -110, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.20, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13350, 'Left_wheel_dist': -132, 'Right_wheel_dist': -110, 'IMU_roll': 0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.62, 'IMU_Acc_x': 0.32, 'IMU_Acc_y': 0.21, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13451, 'Left_wheel_dist': -141, 'Right_wheel_dist': -115, 'IMU_roll': -0.02, 'IMU_pitch': -0.00, 'IMU_yaw': 3.67, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.93, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13552, 'Left_wheel_dist': -185, 'Right_wheel_dist': -163, 'IMU_roll': 0.01, 'IMU_pitch': 0.00, 'IMU_yaw': 3.72, 'IMU_Acc_x': -0.09, 'IMU_Acc_y': 0.51, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13654, 'Left_wheel_dist': -252, 'Right_wheel_dist': -228, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 3.74, 'IMU_Acc_x': 0.43, 'IMU_Acc_y': -0.62, 'IMU_Acc_z': 10.44, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13754, 'Left_wheel_dist': -312, 'Right_wheel_dist': -281, 'IMU_roll': 0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.75, 'IMU_Acc_x': -0.31, 'IMU_Acc_y': 0.59, 'IMU_Acc_z': 10.11, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13855, 'Left_wheel_dist': -378, 'Right_wheel_dist': -345, 'IMU_roll': -0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.69, 'IMU_Acc_y': -1.24, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13950, 'Left_wheel_dist': -387, 'Right_wheel_dist': -367, 'IMU_roll': 0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 3.75, 'IMU_Acc_x': -0.13, 'IMU_Acc_y': 0.91, 'IMU_Acc_z': 8.72, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 14053, 'Left_wheel_dist': -374, 'Right_wheel_dist': -363, 'IMU_roll': -0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 3.80, 'IMU_Acc_x': 0.58, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 10.95, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14145, 'Left_wheel_dist': -371, 'Right_wheel_dist': -356, 'IMU_roll': -0.01, 'IMU_pitch': -0.01, 'IMU_yaw': 3.73, 'IMU_Acc_x': -0.28, 'IMU_Acc_y': -0.41, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 14248, 'Left_wheel_dist': -369, 'Right_wheel_dist': -354, 'IMU_roll': 0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 3.62, 'IMU_Acc_x': -0.10, 'IMU_Acc_y': 0.18, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14350, 'Left_wheel_dist': -371, 'Right_wheel_dist': -354, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.52, 'IMU_Acc_x': 0.22, 'IMU_Acc_y': -0.06, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 14446, 'Left_wheel_dist': -371, 'Right_wheel_dist': -354, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.58, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14547, 'Left_wheel_dist': -387, 'Right_wheel_dist': -365, 'IMU_roll': -0.05, 'IMU_pitch': -0.07, 'IMU_yaw': 3.57, 'IMU_Acc_x': -0.67, 'IMU_Acc_y': -0.67, 'IMU_Acc_z': 10.24, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14648, 'Left_wheel_dist': -438, 'Right_wheel_dist': -416, 'IMU_roll': 0.03, 'IMU_pitch': -0.03, 'IMU_yaw': 3.58, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': 1.63, 'IMU_Acc_z': 8.72, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14749, 'Left_wheel_dist': -509, 'Right_wheel_dist': -484, 'IMU_roll': -0.04, 'IMU_pitch': -0.00, 'IMU_yaw': 3.65, 'IMU_Acc_x': 0.08, 'IMU_Acc_y': -0.58, 'IMU_Acc_z': 11.71, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14851, 'Left_wheel_dist': -588, 'Right_wheel_dist': -571, 'IMU_roll': -0.03, 'IMU_pitch': 0.04, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.52, 'IMU_Acc_y': -0.93, 'IMU_Acc_z': 8.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14951, 'Left_wheel_dist': -659, 'Right_wheel_dist': -637, 'IMU_roll': 0.04, 'IMU_pitch': 0.04, 'IMU_yaw': 3.68, 'IMU_Acc_x': -0.05, 'IMU_Acc_y': 1.36, 'IMU_Acc_z': 9.67, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15054, 'Left_wheel_dist': -686, 'Right_wheel_dist': -659, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 3.71, 'IMU_Acc_x': -0.15, 'IMU_Acc_y': -1.20, 'IMU_Acc_z': 10.32, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15147, 'Left_wheel_dist': -681, 'Right_wheel_dist': -653, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.51, 'IMU_Acc_y': 0.68, 'IMU_Acc_z': 10.13, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 15249, 'Left_wheel_dist': -677, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 3.74, 'IMU_Acc_x': -0.41, 'IMU_Acc_y': -0.24, 'IMU_Acc_z': 9.91, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15352, 'Left_wheel_dist': -677, 'Right_wheel_dist': -650, 'IMU_roll': 0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.66, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -0.08, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15455, 'Left_wheel_dist': -677, 'Right_wheel_dist': -650, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.73, 'IMU_Acc_x': 0.11, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.80, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 15545, 'Left_wheel_dist': -677, 'Right_wheel_dist': -650, 'IMU_roll': -0.02, 'IMU_pitch': 0.02, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.00, 'IMU_Acc_y': -0.18, 'IMU_Acc_z': 9.78, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 15647, 'Left_wheel_dist': -677, 'Right_wheel_dist': -650, 'IMU_roll': 0.04, 'IMU_pitch': 0.02, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.83, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15750, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 3.70, 'IMU_Acc_x': 0.12, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 15852, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.05, 'IMU_Acc_z': 9.82, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 15954, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.16, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16046, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.68, 'IMU_Acc_x': 0.20, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 16147, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.72, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': -0.00, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16249, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.78, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.79, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16352, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.74, 'IMU_Acc_x': 0.19, 'IMU_Acc_y': 0.02, 'IMU_Acc_z': 9.82, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16454, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 3.70, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16557, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 16648, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 3.79, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 16750, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.17, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16852, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.71, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 16954, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17056, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.76, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17147, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.69, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 17249, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.74, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17351, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.79, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17454, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.74, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 17555, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.72, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17657, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.77, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17748, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.02, 'IMU_yaw': 3.78, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 21, 'Acc_Accu': 6}
{'Time': 17850, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.02, 'IMU_pitch': 0.01, 'IMU_yaw': 3.72, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 17952, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.74, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
{'Time': 18055, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 3.79, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.81, 'Loop_dt': 22, 'Acc_Accu': 7}
{'Time': 18157, 'Left_wheel_dist': -679, 'Right_wheel_dist': -650, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 3.75, 'IMU_Acc_x': 0.18, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.80, 'Loop_dt': 21, 'Acc_Accu': 7}
