Mon Nov  9 11:56:06 2020
Joystick Mode (120s)
{'Time': 9643, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.16, 'IMU_Acc_x': 0.50, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 9.80, 'Loop_dt': 25, 'Acc_Accu': 1137}
{'Time': 11138, 'Left_wheel_dist': -99, 'Right_wheel_dist': -81, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 11225, 'Left_wheel_dist': -99, 'Right_wheel_dist': -81, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.39, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.80, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 11324, 'Left_wheel_dist': -99, 'Right_wheel_dist': -84, 'IMU_roll': -0.00, 'IMU_pitch': 0.05, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.80, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11424, 'Left_wheel_dist': -106, 'Right_wheel_dist': -81, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.27, 'IMU_Acc_y': -0.16, 'IMU_Acc_z': 9.82, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11526, 'Left_wheel_dist': -115, 'Right_wheel_dist': -84, 'IMU_roll': -0.03, 'IMU_pitch': 0.03, 'IMU_yaw': 5.02, 'IMU_Acc_x': -0.02, 'IMU_Acc_y': -0.59, 'IMU_Acc_z': 9.85, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 11626, 'Left_wheel_dist': -135, 'Right_wheel_dist': -95, 'IMU_roll': -0.04, 'IMU_pitch': -0.01, 'IMU_yaw': 5.01, 'IMU_Acc_x': -0.88, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 9.73, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11727, 'Left_wheel_dist': -152, 'Right_wheel_dist': -101, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.94, 'IMU_Acc_y': 0.56, 'IMU_Acc_z': 9.81, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 11820, 'Left_wheel_dist': -157, 'Right_wheel_dist': -108, 'IMU_roll': 0.03, 'IMU_pitch': 0.08, 'IMU_yaw': 5.00, 'IMU_Acc_x': 1.83, 'IMU_Acc_y': 0.95, 'IMU_Acc_z': 9.79, 'Loop_dt': 22, 'Acc_Accu': 6}
{'Time': 11917, 'Left_wheel_dist': -157, 'Right_wheel_dist': -108, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 4.98, 'IMU_Acc_x': 0.35, 'IMU_Acc_y': -0.43, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12017, 'Left_wheel_dist': -159, 'Right_wheel_dist': -110, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 4.98, 'IMU_Acc_x': 0.23, 'IMU_Acc_y': -0.02, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12119, 'Left_wheel_dist': -183, 'Right_wheel_dist': -121, 'IMU_roll': -0.03, 'IMU_pitch': -0.04, 'IMU_yaw': 4.98, 'IMU_Acc_x': -1.96, 'IMU_Acc_y': -1.08, 'IMU_Acc_z': 9.89, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12220, 'Left_wheel_dist': -219, 'Right_wheel_dist': -154, 'IMU_roll': -0.01, 'IMU_pitch': -0.03, 'IMU_yaw': 4.99, 'IMU_Acc_x': -0.91, 'IMU_Acc_y': 0.49, 'IMU_Acc_z': 9.75, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12322, 'Left_wheel_dist': -256, 'Right_wheel_dist': -190, 'IMU_roll': 0.00, 'IMU_pitch': 0.03, 'IMU_yaw': 4.99, 'IMU_Acc_x': 1.00, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.78, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12411, 'Left_wheel_dist': -281, 'Right_wheel_dist': -216, 'IMU_roll': 0.03, 'IMU_pitch': 0.07, 'IMU_yaw': 4.99, 'IMU_Acc_x': 1.22, 'IMU_Acc_y': 0.47, 'IMU_Acc_z': 10.09, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12513, 'Left_wheel_dist': -309, 'Right_wheel_dist': -243, 'IMU_roll': 0.01, 'IMU_pitch': 0.06, 'IMU_yaw': 4.97, 'IMU_Acc_x': 0.81, 'IMU_Acc_y': -0.07, 'IMU_Acc_z': 9.79, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 12614, 'Left_wheel_dist': -338, 'Right_wheel_dist': -267, 'IMU_roll': 0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.98, 'IMU_Acc_x': -0.19, 'IMU_Acc_y': -0.22, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 12717, 'Left_wheel_dist': -371, 'Right_wheel_dist': -294, 'IMU_roll': 0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.42, 'IMU_Acc_y': 0.52, 'IMU_Acc_z': 9.62, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 12805, 'Left_wheel_dist': -398, 'Right_wheel_dist': -318, 'IMU_roll': 0.04, 'IMU_pitch': 0.06, 'IMU_yaw': 5.02, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 10.04, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 12905, 'Left_wheel_dist': -429, 'Right_wheel_dist': -345, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13006, 'Left_wheel_dist': -464, 'Right_wheel_dist': -376, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.59, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13108, 'Left_wheel_dist': -500, 'Right_wheel_dist': -407, 'IMU_roll': 0.02, 'IMU_pitch': 0.05, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.28, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 9.36, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13209, 'Left_wheel_dist': -537, 'Right_wheel_dist': -440, 'IMU_roll': 0.01, 'IMU_pitch': 0.05, 'IMU_yaw': 5.01, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': 0.31, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13297, 'Left_wheel_dist': -575, 'Right_wheel_dist': -464, 'IMU_roll': -0.02, 'IMU_pitch': 0.04, 'IMU_yaw': 5.00, 'IMU_Acc_x': 0.44, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.64, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13399, 'Left_wheel_dist': -604, 'Right_wheel_dist': -493, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 4.99, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': -0.15, 'IMU_Acc_z': 9.73, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13500, 'Left_wheel_dist': -630, 'Right_wheel_dist': -520, 'IMU_roll': -0.00, 'IMU_pitch': 0.04, 'IMU_yaw': 4.98, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': 0.00, 'IMU_Acc_z': 9.83, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 13603, 'Left_wheel_dist': -653, 'Right_wheel_dist': -540, 'IMU_roll': 0.00, 'IMU_pitch': 0.08, 'IMU_yaw': 4.97, 'IMU_Acc_x': 1.10, 'IMU_Acc_y': -0.04, 'IMU_Acc_z': 9.65, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13693, 'Left_wheel_dist': -664, 'Right_wheel_dist': -555, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 4.97, 'IMU_Acc_x': 1.08, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 9.88, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 13796, 'Left_wheel_dist': -653, 'Right_wheel_dist': -577, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 4.97, 'IMU_Acc_x': 1.38, 'IMU_Acc_y': 0.89, 'IMU_Acc_z': 9.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13899, 'Left_wheel_dist': -622, 'Right_wheel_dist': -604, 'IMU_roll': 0.14, 'IMU_pitch': 0.09, 'IMU_yaw': 5.06, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': 3.12, 'IMU_Acc_z': 9.43, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 13989, 'Left_wheel_dist': -595, 'Right_wheel_dist': -637, 'IMU_roll': 0.12, 'IMU_pitch': 0.08, 'IMU_yaw': 5.14, 'IMU_Acc_x': 1.07, 'IMU_Acc_y': 0.82, 'IMU_Acc_z': 10.02, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14093, 'Left_wheel_dist': -562, 'Right_wheel_dist': -670, 'IMU_roll': 0.05, 'IMU_pitch': 0.08, 'IMU_yaw': 5.23, 'IMU_Acc_x': 1.03, 'IMU_Acc_y': -0.33, 'IMU_Acc_z': 9.91, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14196, 'Left_wheel_dist': -526, 'Right_wheel_dist': -706, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 5.32, 'IMU_Acc_x': 1.18, 'IMU_Acc_y': -0.66, 'IMU_Acc_z': 10.29, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 14286, 'Left_wheel_dist': -509, 'Right_wheel_dist': -730, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.39, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.51, 'IMU_Acc_z': 8.71, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14390, 'Left_wheel_dist': -522, 'Right_wheel_dist': -757, 'IMU_roll': -0.08, 'IMU_pitch': 0.01, 'IMU_yaw': 5.40, 'IMU_Acc_x': -1.71, 'IMU_Acc_y': -5.45, 'IMU_Acc_z': 10.01, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14494, 'Left_wheel_dist': -571, 'Right_wheel_dist': -803, 'IMU_roll': -0.05, 'IMU_pitch': -0.05, 'IMU_yaw': 5.39, 'IMU_Acc_x': -1.67, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.50, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14584, 'Left_wheel_dist': -606, 'Right_wheel_dist': -850, 'IMU_roll': -0.01, 'IMU_pitch': -0.02, 'IMU_yaw': 5.40, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.92, 'IMU_Acc_z': 9.83, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14689, 'Left_wheel_dist': -653, 'Right_wheel_dist': -905, 'IMU_roll': -0.00, 'IMU_pitch': 0.00, 'IMU_yaw': 5.42, 'IMU_Acc_x': 0.34, 'IMU_Acc_y': 0.06, 'IMU_Acc_z': 9.70, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14793, 'Left_wheel_dist': -695, 'Right_wheel_dist': -960, 'IMU_roll': 0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 5.44, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.14, 'IMU_Acc_z': 9.72, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 14883, 'Left_wheel_dist': -721, 'Right_wheel_dist': -1011, 'IMU_roll': 0.03, 'IMU_pitch': 0.06, 'IMU_yaw': 5.46, 'IMU_Acc_x': 0.95, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 9.84, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 14987, 'Left_wheel_dist': -730, 'Right_wheel_dist': -1060, 'IMU_roll': 0.09, 'IMU_pitch': 0.11, 'IMU_yaw': 5.51, 'IMU_Acc_x': 2.23, 'IMU_Acc_y': 2.14, 'IMU_Acc_z': 9.31, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15090, 'Left_wheel_dist': -719, 'Right_wheel_dist': -1100, 'IMU_roll': 0.09, 'IMU_pitch': 0.13, 'IMU_yaw': 5.57, 'IMU_Acc_x': 2.05, 'IMU_Acc_y': 0.99, 'IMU_Acc_z': 9.93, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15180, 'Left_wheel_dist': -704, 'Right_wheel_dist': -1129, 'IMU_roll': 0.05, 'IMU_pitch': 0.12, 'IMU_yaw': 5.63, 'IMU_Acc_x': 1.28, 'IMU_Acc_y': 0.11, 'IMU_Acc_z': 9.72, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15284, 'Left_wheel_dist': -681, 'Right_wheel_dist': -1162, 'IMU_roll': 0.02, 'IMU_pitch': 0.12, 'IMU_yaw': 5.71, 'IMU_Acc_x': 1.34, 'IMU_Acc_y': -0.31, 'IMU_Acc_z': 10.33, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15387, 'Left_wheel_dist': -657, 'Right_wheel_dist': -1193, 'IMU_roll': 0.05, 'IMU_pitch': 0.09, 'IMU_yaw': 5.79, 'IMU_Acc_x': 0.53, 'IMU_Acc_y': 0.94, 'IMU_Acc_z': 8.67, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 15477, 'Left_wheel_dist': -642, 'Right_wheel_dist': -1226, 'IMU_roll': 0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 5.85, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15581, 'Left_wheel_dist': -664, 'Right_wheel_dist': -1270, 'IMU_roll': -0.04, 'IMU_pitch': 0.01, 'IMU_yaw': 5.88, 'IMU_Acc_x': -2.37, 'IMU_Acc_y': -2.82, 'IMU_Acc_z': 9.90, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15685, 'Left_wheel_dist': -695, 'Right_wheel_dist': -1323, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 5.92, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.15, 'IMU_Acc_z': 9.82, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 15775, 'Left_wheel_dist': -721, 'Right_wheel_dist': -1372, 'IMU_roll': 0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 5.96, 'IMU_Acc_x': 0.90, 'IMU_Acc_y': 0.64, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 15880, 'Left_wheel_dist': -750, 'Right_wheel_dist': -1430, 'IMU_roll': 0.03, 'IMU_pitch': 0.09, 'IMU_yaw': 6.02, 'IMU_Acc_x': 1.10, 'IMU_Acc_y': 0.43, 'IMU_Acc_z': 9.72, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 15983, 'Left_wheel_dist': -781, 'Right_wheel_dist': -1476, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 6.06, 'IMU_Acc_x': 0.05, 'IMU_Acc_y': -0.65, 'IMU_Acc_z': 8.15, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16073, 'Left_wheel_dist': -812, 'Right_wheel_dist': -1520, 'IMU_roll': 0.03, 'IMU_pitch': 0.12, 'IMU_yaw': 6.10, 'IMU_Acc_x': 1.17, 'IMU_Acc_y': 0.26, 'IMU_Acc_z': 13.34, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16178, 'Left_wheel_dist': -852, 'Right_wheel_dist': -1571, 'IMU_roll': 0.05, 'IMU_pitch': 0.15, 'IMU_yaw': 6.13, 'IMU_Acc_x': 1.89, 'IMU_Acc_y': 0.25, 'IMU_Acc_z': 8.71, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16281, 'Left_wheel_dist': -889, 'Right_wheel_dist': -1618, 'IMU_roll': 0.03, 'IMU_pitch': 0.13, 'IMU_yaw': 6.14, 'IMU_Acc_x': 1.15, 'IMU_Acc_y': 0.46, 'IMU_Acc_z': 10.41, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16371, 'Left_wheel_dist': -927, 'Right_wheel_dist': -1660, 'IMU_roll': 0.03, 'IMU_pitch': 0.12, 'IMU_yaw': 6.15, 'IMU_Acc_x': 1.41, 'IMU_Acc_y': 0.72, 'IMU_Acc_z': 9.39, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16476, 'Left_wheel_dist': -967, 'Right_wheel_dist': -1711, 'IMU_roll': 0.01, 'IMU_pitch': 0.11, 'IMU_yaw': 6.17, 'IMU_Acc_x': 1.17, 'IMU_Acc_y': -0.34, 'IMU_Acc_z': 10.30, 'Loop_dt': 25, 'Acc_Accu': 6}
{'Time': 16580, 'Left_wheel_dist': -1005, 'Right_wheel_dist': -1760, 'IMU_roll': 0.03, 'IMU_pitch': 0.11, 'IMU_yaw': 6.19, 'IMU_Acc_x': 0.84, 'IMU_Acc_y': 0.51, 'IMU_Acc_z': 8.91, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 16670, 'Left_wheel_dist': -1042, 'Right_wheel_dist': -1810, 'IMU_roll': 0.01, 'IMU_pitch': 0.09, 'IMU_yaw': 6.20, 'IMU_Acc_x': 0.71, 'IMU_Acc_y': -0.13, 'IMU_Acc_z': 9.74, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 16775, 'Left_wheel_dist': -1087, 'Right_wheel_dist': -1864, 'IMU_roll': -0.01, 'IMU_pitch': 0.08, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.21, 'IMU_Acc_z': 10.21, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 16866, 'Left_wheel_dist': -1126, 'Right_wheel_dist': -1908, 'IMU_roll': -0.02, 'IMU_pitch': 0.07, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': 0.29, 'IMU_Acc_z': 9.77, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 16970, 'Left_wheel_dist': -1180, 'Right_wheel_dist': -1963, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.22, 'IMU_Acc_x': 0.46, 'IMU_Acc_y': -0.17, 'IMU_Acc_z': 9.72, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17075, 'Left_wheel_dist': -1228, 'Right_wheel_dist': -2027, 'IMU_roll': -0.02, 'IMU_pitch': 0.03, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.25, 'IMU_Acc_y': -0.63, 'IMU_Acc_z': 9.85, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17165, 'Left_wheel_dist': -1279, 'Right_wheel_dist': -2076, 'IMU_roll': -0.01, 'IMU_pitch': 0.03, 'IMU_yaw': 6.24, 'IMU_Acc_x': 0.45, 'IMU_Acc_y': 0.24, 'IMU_Acc_z': 10.22, 'Loop_dt': 24, 'Acc_Accu': 5}
{'Time': 17267, 'Left_wheel_dist': -1323, 'Right_wheel_dist': -2123, 'IMU_roll': -0.01, 'IMU_pitch': 0.04, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.47, 'IMU_Acc_y': 0.12, 'IMU_Acc_z': 9.97, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17369, 'Left_wheel_dist': -1370, 'Right_wheel_dist': -2171, 'IMU_roll': -0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 6.23, 'IMU_Acc_x': 1.71, 'IMU_Acc_y': -0.03, 'IMU_Acc_z': 10.33, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17472, 'Left_wheel_dist': -1405, 'Right_wheel_dist': -2211, 'IMU_roll': 0.01, 'IMU_pitch': 0.07, 'IMU_yaw': 6.24, 'IMU_Acc_x': 0.37, 'IMU_Acc_y': 0.27, 'IMU_Acc_z': 8.54, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17562, 'Left_wheel_dist': -1443, 'Right_wheel_dist': -2242, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.23, 'IMU_Acc_x': 0.54, 'IMU_Acc_y': -0.79, 'IMU_Acc_z': 10.03, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17667, 'Left_wheel_dist': -1485, 'Right_wheel_dist': -2271, 'IMU_roll': -0.03, 'IMU_pitch': 0.05, 'IMU_yaw': 6.21, 'IMU_Acc_x': 0.29, 'IMU_Acc_y': -0.36, 'IMU_Acc_z': 9.62, 'Loop_dt': 24, 'Acc_Accu': 6}
{'Time': 17770, 'Left_wheel_dist': -1532, 'Right_wheel_dist': -2295, 'IMU_roll': -0.06, 'IMU_pitch': 0.05, 'IMU_yaw': 6.15, 'IMU_Acc_x': 0.06, 'IMU_Acc_y': -1.41, 'IMU_Acc_z': 8.85, 'Loop_dt': 23, 'Acc_Accu': 6}
{'Time': 17861, 'Left_wheel_dist': -1578, 'Right_wheel_dist': -2313, 'IMU_roll': -0.04, 'IMU_pitch': 0.05, 'IMU_yaw': 6.11, 'IMU_Acc_x': 1.45, 'IMU_Acc_y': 0.22, 'IMU_Acc_z': 10.71, 'Loop_dt': 23, 'Acc_Accu': 5}
{'Time': 17966, 'Left_wheel_dist': -1627, 'Right_wheel_dist': -2331, 'IMU_roll': -0.02, 'IMU_pitch': 0.06, 'IMU_yaw': 6.07, 'IMU_Acc_x': 1.11, 'IMU_Acc_y': 0.34, 'IMU_Acc_z': 9.86, 'Loop_dt': 24, 'Acc_Accu': 6}
