Wed Feb 10 13:36:11 2021
Program 10: 1s Stillstand, Rampe Rotation von +- 0-1 m/s innerhalb 2s, Stillstand
{'Time': 9651, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': -0.00, 'IMU_pitch': 0.02, 'IMU_yaw': 1.99, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 1142}
{'Time': 10756, 'Left_wheel_dist': 0, 'Right_wheel_dist': 0, 'IMU_roll': 0.00, 'IMU_pitch': 0.01, 'IMU_yaw': 2.01, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.89, 'Loop_dt': 20, 'Acc_Accu': 9}
{'Time': 10853, 'Left_wheel_dist': 2, 'Right_wheel_dist': 0, 'IMU_roll': 0.01, 'IMU_pitch': 0.01, 'IMU_yaw': 2.01, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 0.10, 'IMU_Acc_z': 9.88, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 10952, 'Left_wheel_dist': 8, 'Right_wheel_dist': -4, 'IMU_roll': 0.07, 'IMU_pitch': 0.01, 'IMU_yaw': 2.03, 'IMU_Acc_x': 0.10, 'IMU_Acc_y': 1.09, 'IMU_Acc_z': 9.77, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11053, 'Left_wheel_dist': 22, 'Right_wheel_dist': -15, 'IMU_roll': 0.07, 'IMU_pitch': 0.02, 'IMU_yaw': 2.10, 'IMU_Acc_x': 0.16, 'IMU_Acc_y': 0.63, 'IMU_Acc_z': 10.02, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11152, 'Left_wheel_dist': 39, 'Right_wheel_dist': -35, 'IMU_roll': 0.11, 'IMU_pitch': 0.02, 'IMU_yaw': 2.19, 'IMU_Acc_x': 0.38, 'IMU_Acc_y': 1.46, 'IMU_Acc_z': 9.73, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11252, 'Left_wheel_dist': 66, 'Right_wheel_dist': -59, 'IMU_roll': 0.09, 'IMU_pitch': 0.02, 'IMU_yaw': 2.34, 'IMU_Acc_x': 0.41, 'IMU_Acc_y': 0.89, 'IMU_Acc_z': 10.08, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11352, 'Left_wheel_dist': 97, 'Right_wheel_dist': -90, 'IMU_roll': 0.10, 'IMU_pitch': 0.06, 'IMU_yaw': 2.42, 'IMU_Acc_x': 0.64, 'IMU_Acc_y': 0.73, 'IMU_Acc_z': 9.71, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11449, 'Left_wheel_dist': 132, 'Right_wheel_dist': -123, 'IMU_roll': 0.07, 'IMU_pitch': 0.08, 'IMU_yaw': 2.59, 'IMU_Acc_x': 0.88, 'IMU_Acc_y': 0.72, 'IMU_Acc_z': 10.24, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11549, 'Left_wheel_dist': 177, 'Right_wheel_dist': -166, 'IMU_roll': 0.07, 'IMU_pitch': 0.10, 'IMU_yaw': 2.73, 'IMU_Acc_x': 0.94, 'IMU_Acc_y': 0.88, 'IMU_Acc_z': 9.82, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11650, 'Left_wheel_dist': 223, 'Right_wheel_dist': -214, 'IMU_roll': 0.02, 'IMU_pitch': 0.13, 'IMU_yaw': 2.95, 'IMU_Acc_x': 1.42, 'IMU_Acc_y': 0.17, 'IMU_Acc_z': 10.38, 'Loop_dt': 21, 'Acc_Accu': 8}
{'Time': 11749, 'Left_wheel_dist': 272, 'Right_wheel_dist': -270, 'IMU_roll': 0.01, 'IMU_pitch': 0.17, 'IMU_yaw': 3.21, 'IMU_Acc_x': 1.62, 'IMU_Acc_y': 0.70, 'IMU_Acc_z': 10.06, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11849, 'Left_wheel_dist': 327, 'Right_wheel_dist': -327, 'IMU_roll': 0.01, 'IMU_pitch': 0.20, 'IMU_yaw': 3.48, 'IMU_Acc_x': 1.79, 'IMU_Acc_y': 0.57, 'IMU_Acc_z': 9.71, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 11950, 'Left_wheel_dist': 383, 'Right_wheel_dist': -385, 'IMU_roll': 0.04, 'IMU_pitch': 0.24, 'IMU_yaw': 3.76, 'IMU_Acc_x': 2.28, 'IMU_Acc_y': 0.60, 'IMU_Acc_z': 9.51, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12051, 'Left_wheel_dist': 447, 'Right_wheel_dist': -453, 'IMU_roll': 0.05, 'IMU_pitch': 0.26, 'IMU_yaw': 4.03, 'IMU_Acc_x': 2.42, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 9.89, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12152, 'Left_wheel_dist': 513, 'Right_wheel_dist': -526, 'IMU_roll': 0.08, 'IMU_pitch': 0.28, 'IMU_yaw': 4.27, 'IMU_Acc_x': 2.93, 'IMU_Acc_y': 0.45, 'IMU_Acc_z': 9.39, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12254, 'Left_wheel_dist': 584, 'Right_wheel_dist': -602, 'IMU_roll': 0.12, 'IMU_pitch': 0.28, 'IMU_yaw': 4.49, 'IMU_Acc_x': 3.19, 'IMU_Acc_y': 0.66, 'IMU_Acc_z': 9.84, 'Loop_dt': 20, 'Acc_Accu': 8}
{'Time': 12355, 'Left_wheel_dist': 659, 'Right_wheel_dist': -690, 'IMU_roll': 0.14, 'IMU_pitch': 0.29, 'IMU_yaw': 4.70, 'IMU_Acc_x': 3.48, 'IMU_Acc_y': 0.57, 'IMU_Acc_z': 9.61, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12455, 'Left_wheel_dist': 741, 'Right_wheel_dist': -772, 'IMU_roll': 0.16, 'IMU_pitch': 0.29, 'IMU_yaw': 4.94, 'IMU_Acc_x': 3.81, 'IMU_Acc_y': 0.67, 'IMU_Acc_z': 9.80, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12556, 'Left_wheel_dist': 821, 'Right_wheel_dist': -867, 'IMU_roll': 0.18, 'IMU_pitch': 0.30, 'IMU_yaw': 5.18, 'IMU_Acc_x': 4.17, 'IMU_Acc_y': 0.79, 'IMU_Acc_z': 9.55, 'Loop_dt': 19, 'Acc_Accu': 8}
{'Time': 12654, 'Left_wheel_dist': 905, 'Right_wheel_dist': -956, 'IMU_roll': 0.20, 'IMU_pitch': 0.30, 'IMU_yaw': 5.43, 'IMU_Acc_x': 4.85, 'IMU_Acc_y': 0.89, 'IMU_Acc_z': 9.81, 'Loop_dt': 18, 'Acc_Accu': 8}
{'Time': 12753, 'Left_wheel_dist': 938, 'Right_wheel_dist': -996, 'IMU_roll': 0.14, 'IMU_pitch': 0.27, 'IMU_yaw': 5.62, 'IMU_Acc_x': 2.99, 'IMU_Acc_y': -3.95, 'IMU_Acc_z': 9.91, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12852, 'Left_wheel_dist': 954, 'Right_wheel_dist': -1013, 'IMU_roll': 0.05, 'IMU_pitch': 0.23, 'IMU_yaw': 5.72, 'IMU_Acc_x': 1.37, 'IMU_Acc_y': -4.66, 'IMU_Acc_z': 10.02, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 12950, 'Left_wheel_dist': 958, 'Right_wheel_dist': -1029, 'IMU_roll': -0.05, 'IMU_pitch': 0.21, 'IMU_yaw': 5.76, 'IMU_Acc_x': 2.38, 'IMU_Acc_y': -3.34, 'IMU_Acc_z': 9.97, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13048, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1040, 'IMU_roll': -0.09, 'IMU_pitch': 0.17, 'IMU_yaw': 5.76, 'IMU_Acc_x': 1.36, 'IMU_Acc_y': -1.76, 'IMU_Acc_z': 9.77, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13153, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1042, 'IMU_roll': -0.03, 'IMU_pitch': 0.15, 'IMU_yaw': 5.80, 'IMU_Acc_x': 0.96, 'IMU_Acc_y': -0.38, 'IMU_Acc_z': 9.87, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13250, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1042, 'IMU_roll': 0.03, 'IMU_pitch': 0.12, 'IMU_yaw': 5.84, 'IMU_Acc_x': 0.73, 'IMU_Acc_y': 0.01, 'IMU_Acc_z': 9.86, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13353, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1042, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 5.88, 'IMU_Acc_x': 0.55, 'IMU_Acc_y': 0.04, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
{'Time': 13449, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1042, 'IMU_roll': 0.06, 'IMU_pitch': 0.10, 'IMU_yaw': 5.91, 'IMU_Acc_x': 0.66, 'IMU_Acc_y': -0.01, 'IMU_Acc_z': 9.89, 'Loop_dt': 18, 'Acc_Accu': 9}
{'Time': 13552, 'Left_wheel_dist': 956, 'Right_wheel_dist': -1042, 'IMU_roll': 0.07, 'IMU_pitch': 0.09, 'IMU_yaw': 5.94, 'IMU_Acc_x': 0.63, 'IMU_Acc_y': 0.03, 'IMU_Acc_z': 9.88, 'Loop_dt': 18, 'Acc_Accu': 10}
